"","V9","V4","V6","V7","V8","CHROM","START","STOP","log2FC","CENTER","TSS","distance.kb","my_ranks","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","AC003092.1","4_NA_peak_66999_lociStitched","chr7",93651145,93653145,"chr7",93671497,93699561,1.93663793900257,93685529,93652145,33.384,"1",25,3961.11682666626,3.88071484194147,0.0873092924416904,44.4479016312405,0,0
"2","AC003092.1","12_NA_peak_67009_lociStitched","chr7",93651145,93653145,"chr7",93772869,93820559,1.95486660568769,93796714,93652145,144.569,"1",25,3961.11682666626,3.88071484194147,0.0873092924416904,44.4479016312405,0,0
"3","ADAMTS6","7_NA_peak_56916_lociStitched","chr5",64776747,64778747,"chr5",64248905,64275164,2.00890038959169,64262034,64777747,515.713,"4",259,3329.39523065073,1.6934173839241,0.079490050985768,21.3035136211863,1.05317373646362e-100,6.09295570161041e-99
"4","ADNP","10_NA_peak_42285_lociStitched","chr20",49546958,49548958,"chr20",50355031,50378421,1.55509707424182,50366726,49547958,818.768,"6",1282,6559.90785173828,0.585805733276016,0.0579459922680608,10.1095125020218,5.01331094070564e-24,5.85955157063443e-23
"5","ANGPT1","5_NA_peak_71058_lociStitched","chr8",108509283,108511283,"chr8",108748613,108769362,1.71410624578872,108758987,108510283,248.704,"1",464,620.153040177313,3.36356800360416,0.206714521252075,16.2715612973435,1.57100382277269e-59,5.07325889664354e-58
"6","ARHGAP18","17_NA_peak_63416_lociStitched","chr6",130030370,130032370,"chr6",130586378,130649936,2.04758536645709,130618157,130031370,586.787,"5",195,9980.9159312389,1.17893347961033,0.0488386587917598,24.1393500308253,9.66028909012432e-129,7.42306521673963e-127
"7","ARHGAP24","5_NA_peak_52660_lociStitched","chr4",86395267,86397267,"chr4",86696568,86719143,1.59210204536341,86707855,86396267,311.588,"1",1602,1032.99451055797,1.22298228667449,0.137184172146693,8.91489351531563,4.88285264792009e-19,4.56708265146284e-18
"8","ATP9A","10_NA_peak_42285_lociStitched","chr20",50384173,50386173,"chr20",50355031,50378421,1.55509707424182,50366726,50385173,18.447,"1",153,2923.50757525573,2.44811094076735,0.0925938188548555,26.4392480086048,4.85068678231464e-154,4.75050266315049e-152
"9","BCAS4","10_NA_peak_42285_lociStitched","chr20",49410431,49412431,"chr20",50355031,50378421,1.55509707424182,50366726,49411431,955.295,"8",2602,1361.37505424035,0.867886406191642,0.128610498641129,6.74817697903005,1.49714266763334e-11,8.62151642268178e-11
"10","BET1","4_NA_peak_66999_lociStitched","chr7",93632694,93634694,"chr7",93671497,93699561,1.93663793900257,93685529,93633694,51.835,"2",2065,1838.5788375659,0.775578381989678,0.100162915882623,7.74316896782986,9.69690372396022e-15,7.0362423922431e-14
"11","BET1","12_NA_peak_67009_lociStitched","chr7",93632694,93634694,"chr7",93772869,93820559,1.95486660568769,93796714,93633694,163.02,"2",2065,1838.5788375659,0.775578381989678,0.100162915882623,7.74316896782986,9.69690372396022e-15,7.0362423922431e-14
"12","C6orf223","2_NA_peak_61655_lociStitched","chr6",43967317,43969317,"chr6",44443298,44463791,1.63357589294312,44453544,43968317,485.227,"10",20,3103.84129781729,6.80349075145748,0.178730199282712,38.0657033828729,0,0
"13","CAPN2","10_NA_peak_6490_lociStitched","chr1",223888295,223890295,"chr1",224238094,224272511,1.83311078619522,224255302,223889295,366.007,"8",165,37352.0200960425,0.761374298674445,0.0297330755738606,25.6069809119846,1.27550482704932e-144,1.15831298960649e-142
"14","CAT","17_NA_peak_11399_lociStitched","chr11",34459472,34461472,"chr11",33521489,33580604,1.69445868105258,33551046,34460472,909.426,"16",2064,4193.15505270939,0.550349568221486,0.0710556203322681,7.74533479051985,9.53303293105576e-15,6.92068631002614e-14
"15","CCL20","17_NA_peak_40340_lociStitched","chr2",228677558,228679558,"chr2",228230929,228281023,1.81039751378122,228255976,228678558,422.582,"4",7,4763.67237336,5.41753719197481,0.106756558005409,50.7466453882893,0,0
"16","CD59","17_NA_peak_11399_lociStitched","chr11",33756991,33758991,"chr11",33521489,33580604,1.69445868105258,33551046,33757991,206.945,"3",91,23130.7185133658,1.10860913901336,0.0355071894970114,31.2221033181651,5.3409377503426e-214,8.79435288473994e-212
"17","CDC5L","2_NA_peak_61655_lociStitched","chr6",44354262,44356262,"chr6",44443298,44463791,1.63357589294312,44453544,44355262,98.282,"1",531,9749.4727301016,0.750696505544902,0.0486561226804313,15.4286133828502,1.0510415389736e-53,2.96587691525054e-52
"18","CITF22-49D8.1","9_NA_peak_44970_lociStitched","chr22",47740319,47742319,"chr22",47702445,47740880,2.39342919470204,47721662,47741319,19.657,"1",429,635.39878578203,7.08431967319094,0.42319625378001,16.7400339911174,6.6949946112226e-63,2.33841023903402e-61
"19","DEPDC7","17_NA_peak_11399_lociStitched","chr11",33036410,33038410,"chr11",33521489,33580604,1.69445868105258,33551046,33037410,513.636,"11",2362,1271.17957039035,0.916706281336051,0.127655643571787,7.18108699064719,6.91593278741039e-13,4.38731316200497e-12
"20","ETFDH","14_NA_peak_54618_lociStitched","chr4",159592277,159594277,"chr4",159695771,159745978,1.69471363082544,159720874,159593277,127.597,"4",2205,2370.42746086098,0.667478673108045,0.0896950817359323,7.44164184021976,9.94415320918773e-14,6.75751436219814e-13
"21","EXT1","23_NA_peak_71266_lociStitched","chr8",119123092,119125092,"chr8",118913863,118971597,1.54913894860535,118942730,119124092,181.362,"1",1262,7432.90927790856,0.548628194574643,0.053821018543209,10.1935676697421,2.1184410947613e-24,2.51527110648996e-23
