GENE.SYMBOL,PROMOTER.CHROM,PROMOTER.START,PROMOTER.END,PROMOTER.TSS,SE.PEAK,SE.CHROM,SE.START,SE.END,SE.CENTER,DISTANCE.PROM.ENH.KB,RANKED.DISTANCE,SE.LOG2FC,GENE.LOG2FC,GENE.BASEMEAN,GENE.LOG2FC.PADJ
AC083843.1,chr8,135809515,135811515,135810515,2_NA_peak_72074_lociStitched,chr8,135983776,135985813,135984794,174.279,1,-11.91981647,-1.012401772,555.7183159,1.37E-06
ALG10B,chr12,38709380,38711380,38710380,2_NA_peak_15124_lociStitched,chr12,38675694,38677920,38676807,33.573,1,-11.58495762,-5.492412389,172.4081559,1.22E-32
PCGF5,chr10,92978908,92980908,92979908,1_NA_peak_9464_lociStitched,chr10,92944549,92945698,92945123,34.785,1,-10.96215466,-1.273026626,2467.682765,3.00E-43
PPIAP29,chr6,24975647,24977647,24976647,2_NA_peak_60803_lociStitched,chr6,24981357,24982331,24981844,5.197,1,-10.23861444,-0.508777207,1619.217913,1.85E-05
RRBP1,chr20,17661940,17663940,17662940,1_NA_peak_41285_lociStitched,chr20,17715577,17716610,17716093,53.153,1,-10.11745506,-0.922717034,15970.56563,2.46E-121
ABCA10,chr17,67239987,67241987,67240987,2_NA_peak_29507_lociStitched,chr17,67043229,67044325,67043777,197.21,1,-9.879118817,-2.424582221,204.0029057,1.65E-14
ABCA5,chr17,67322385,67324385,67323385,2_NA_peak_29507_lociStitched,chr17,67043229,67044325,67043777,279.608,2,-9.879118817,-0.859376845,198.2348967,0.012056108
TMEM117,chr12,44228770,44230770,44229770,1_NA_peak_15158_lociStitched,chr12,44210310,44211242,44210776,18.994,2,-9.64218097,-2.605722933,188.1449953,8.21E-12
DTNBP1,chr6,15662289,15664289,15663289,2_NA_peak_60556_lociStitched,chr6,15962309,15963228,15962768,299.479,2,-9.361525595,-0.742941413,1690.800378,6.47E-10
CCND1,chr11,69454855,69456855,69455855,1_NA_peak_12383_lociStitched,chr11,69311409,69311969,69311689,144.166,2,-9.28837702,-0.616597246,26184.33764,1.37E-79
