GENE.SYMBOL,PROMOTER.CHROM,PROMOTER.START,PROMOTER.END,PROMOTER.TSS,SE.PEAK,SE.CHROM,SE.START,SE.END,SE.CENTER,DISTANCE.PROM.ENH.KB,RANKED.DISTANCE,SE.LOG2FC,GENE.LOG2FC,GENE.BASEMEAN,GENE.LOG2FC.PADJ
ABCC10,chr6,43394104,43396104,43395104,2_NA_peak_61564_lociStitched,chr6,43344104,43352545,43348324,46.78,2,1.936759382,1.291533338,1357.595152,5.48E-23
ABCC9,chr12,22093336,22095336,22094336,1_NA_peak_14730_lociStitched,chr12,22085818,22088469,22087143,7.193,1,1.914904899,6.348707211,3585.795781,6.67E-35
ABCC9,chr12,22093336,22095336,22094336,1_NA_peak_14728_lociStitched,chr12,22003183,22006386,22004784,89.552,2,2.006848884,6.348707211,3585.795781,6.67E-35
ABHD2,chr15,89629690,89631690,89630690,4_NA_peak_24593_lociStitched,chr15,89553993,89560933,89557463,73.227,1,2.964165429,0.554795778,7728.49194,3.90E-24
ABHD5,chr3,43730605,43732605,43731605,1_NA_peak_46123_lociStitched,chr3,43775549,43776050,43775799,44.194,2,3.29463318,0.526645027,2189.498702,4.80E-08
ABHD5,chr3,43730605,43732605,43731605,3_NA_peak_46112_lociStitched,chr3,43622534,43626300,43624417,107.188,1,1.685715335,0.526645027,2189.498702,4.80E-08
ABHD5,chr3,43730605,43732605,43731605,1_NA_peak_46132_lociStitched,chr3,43935672,43936040,43935856,204.251,2,4.008342509,0.526645027,2189.498702,4.80E-08
ABHD5,chr3,43730605,43732605,43731605,1_NA_peak_46108_lociStitched,chr3,43447859,43448347,43448103,283.502,2,1.848680946,0.526645027,2189.498702,4.80E-08
ABI2,chr2,204191942,204193942,204192942,1_NA_peak_39680_lociStitched,chr2,204505204,204506178,204505691,312.749,2,2.784432473,0.540935167,6392.837348,3.99E-20
ABI2,chr2,204191942,204193942,204192942,1_NA_peak_39679_lociStitched,chr2,204486889,204489398,204488143,295.201,2,2.07866479,0.540935167,6392.837348,3.99E-20
ABI2,chr2,204191942,204193942,204192942,2_NA_peak_39667_lociStitched,chr2,204291420,204292640,204292030,99.088,1,3.009113614,0.540935167,6392.837348,3.99E-20
ABI3BP,chr3,100711359,100713359,100712359,1_NA_peak_47552_lociStitched,chr3,100691977,100693578,100692777,19.582,1,2.462242561,4.938511172,6843.530685,0
ABI3BP,chr3,100711359,100713359,100712359,3_NA_peak_47554_lociStitched,chr3,100726707,100736509,100731608,19.249,1,2.013191576,4.938511172,6843.530685,0
ABI3BP,chr3,100711359,100713359,100712359,1_NA_peak_47548_lociStitched,chr3,100647461,100648749,100648105,64.254,1,3.688188412,4.938511172,6843.530685,0
ABI3BP,chr3,100711359,100713359,100712359,3_NA_peak_47550_lociStitched,chr3,100673154,100676900,100675027,37.332,1,1.913418829,4.938511172,6843.530685,0
ABI3BP,chr3,100711359,100713359,100712359,1_NA_peak_47569_lociStitched,chr3,100838615,100839012,100838813,126.454,1,1.958495697,4.938511172,6843.530685,0
ABI3BP,chr3,100711359,100713359,100712359,2_NA_peak_47567_lociStitched,chr3,100809941,100810899,100810420,98.061,1,1.742771852,4.938511172,6843.530685,0
AC002055.4,chr22,51194376,51196376,51195376,1_NA_peak_45045_lociStitched,chr22,51170327,51170693,51170510,24.866,2,1.74632626,0.776766508,1599.195502,4.16E-08
AC003092.1,chr7,93651145,93653145,93652145,1_NA_peak_67004_lociStitched,chr7,93744261,93744756,93744508,92.363,1,2.137068447,3.880714842,3961.116827,0
